id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,status
2bb62477-35f4-4564-a506-adda0ca33ef0,北京市,北京市,000反查无结果,河东区六纬路85号万隆中心大厦A-903 904 河东区六纬路85号“万隆中心大厦”A-905 河东区六纬路“万隆中心大厦”A座22层-01-05 河东区六纬路万隆中心大厦C座4层1号,0.0,0.0,0.0,0.0,0
1df45e87-3fcd-484b-8b76-f5b530dc2e04,北京市,北京市,昌平区,宗地位于红寺堡区城区燕然路西侧 红寺堡区盐业公司用地北侧，东至燕然路，南至马志贵，西至国有建设用地，北至陈广兴,0.0,0.0,40.08976,116.432712,0
bd0212be-cdbd-480f-a481-1fafd0c69a7b,北京市,北京市,顺义区,宗地位于红寺堡区城区前进街南侧 红寺堡区新华书店东侧，东至马兴礼商业用地，南至国有建设用地，西至马正祜商业用地，北至前进街,0.0,0.0,40.068844,116.56908,0
4ec24fe2-c7da-4d93-a8b8-e5f8bbd2e47a,北京市,北京市,顺义区,宗地位于红寺堡区城区前进街南侧 红寺堡区新华书店东侧，东至田成贵商业用地，南至国有建设用地，西至马进虎商业用地，北至前进街,0.0,0.0,40.068844,116.56908,0
106cc7ed-8f67-4e3b-b8ad-32c1b451c8d6,北京市,北京市,东城区,牡丹区马岭岗镇，东邻220国道，南邻山东花王酒业有限公司，西邻司庄行政村耕地，北邻司庄行政村建设用地,0.0,0.0,39.90312,116.401,0
3935bd09-90d3-4111-ade8-f74e189e8a15,北京市,北京市,延庆区,地块一：经济区安宁园区T500号规划路以南 兰渝铁路编组站用地以北 南坡110KV变电站用地以东；地块二：经济区安宁园区T500号规划路以南 兰渝铁路编组站用地以北 李黄沟两侧 排洪道以西,0.0,0.0,40.677828,116.311288,0
3d9de8fe-5761-48fd-9274-c33ff0f6c8a9,北京市,北京市,西城区,黄山路西段南侧，地块西侧为李家庄村民委员会土地，地块东侧为捎门村村民委员会土地，地块南侧为李家庄村民委员会和捎门村村民委员会土地,0.0,0.0,39.91446,116.3678,0
b9e3ed8a-d7b6-42ea-b666-53af1040f959,北京市,北京市,朝阳区,围场镇教体园区一中校园及规划体育馆北侧，鲲鹏汽修厂以南，滨河路以东，承围公路以西,0.0,0.0,39.919696,116.43704,0
767fa127-259f-453f-83f2-b65ea7e5479c,北京市,北京市,东城区,万州区长坪乡长坪社区3组 黄柏乡黄柏社区1组 溪口乡大溪社区2组 柱山乡柱山社区3组 恒合土家族乡凤安社区2组,0.0,0.0,39.90312,116.401,0
25876512-5e26-4f69-bf8e-5aa0e21cb8ca,北京市,北京市,平谷区,伊犁霍尔果斯金牛边境贸易公司用地以东 伊犁天得房地产开发有限公司用地以北 卡拉苏河以西,0.0,0.0,40.14522,117.091024,0
d88af64a-5383-4433-9b46-62850bc7b919,北京市,北京市,朝阳区,胜坨镇孙家村土地以南 胜坨镇孙家村土地以北 胜坨镇孙家村土地以东 胜坨镇孙家村土地以西,0.0,0.0,39.974776,116.501896,0
655c1c03-7d29-40bb-8fb6-e99b559c543a,北京市,北京市,朝阳区,宗地四至为：东至青云镇赵窝村土地 南至道路 西至青云镇赵窝村土地 北至青云镇赵窝村土地,0.0,0.0,39.96062,116.42188,0
5a1d8fc0-f287-4347-9c50-ae7008b49011,北京市,北京市,朝阳区,东邻东明集镇井店行政村，西邻东兰公路 东明集镇井店行政村，南邻东明集镇井店行政村，北邻东明集镇井店行政村。,0.0,0.0,39.88736,116.443824,0
16c76814-03d7-4e81-80d7-08f114dacfce,北京市,北京市,000反查无结果,南大港产业园区一分区，东至小辛庄大队国有沟渠 南至土路 西至沧州市南大港管理区泰丰汽车检测有限公司 北至南环路,0.0,0.0,0.0,0.0,0
8db2f283-162f-4b1a-94fd-c8b298cde40b,北京市,北京市,西城区,外庄单元XN-02-02-12C地块（位于外庄单元原丝绸城地块南侧，基地东侧为杭长桥路，南侧为环庄路，西侧为肛肠医院，北侧为丝绸路）,0.0,0.0,39.958408,116.373648,0
c50f829d-48c1-4950-8b21-4cefb82a4a19,北京市,北京市,西城区,南浔新区单元CD-03-03-07F地块（位于南浔新区单元，基地北侧新安路，东侧为万顺路，西侧 南侧为现状空地。）,0.0,0.0,39.907988,116.368144,0
503120ff-6240-48fe-b3b3-759fd8e9c9bd,北京市,北京市,西城区,南浔城区CD-03-02-07E地块（位于南浔城东分区，基地东侧为河流，南侧为湖浔路，西侧为风顺路，北侧为河流）,0.0,0.0,39.907988,116.368144,0
a1970e7c-a82c-4566-ac1f-0c70c50e1e2b,北京市,北京市,通州区,辽河街道办事处七街坊（新城区建华中路以东 阿金河西街以北 胜利北路以西 罕山大街以南）,0.0,0.0,39.90014,116.6472,0
