electr_supervise_no,id,province,city,district,location,bd_lat,bd_lon,tdt_lat,tdt_lon,status
1101002016B00834,4b18e9d6-4689-4f7b-ae69-c465c72ef53a,北京市,北京市,昌平区,昌平区长陵镇黑山寨村,40.360983,116.309394,40.353532,116.296792,1
1101002016B00637,6398af66-979e-421c-bc00-cc0b30d53cd6,北京市,北京市,昌平区,昌平区长陵镇景陵村,40.30162,116.258986,40.294472,116.24748,1
1101002010B12204,179c8956-2deb-496a-b23f-b61adf4cab49,北京市,北京市,朝阳区,朝阳区十八里店乡弘善家园M区（31号楼住宅部分）,39.873604,116.461652,39.86616,116.4488,1
1101002010B09901,458c57a0-d18c-4da8-b981-0688cf204698,北京市,北京市,房山区,房山区房山线长阳站8号地西侧,39.759579,115.987826,39.762588,116.206752,1
1101002010B09916,4709e9b1-35cf-4c1a-b97b-04f3a04f3a04,北京市,北京市,房山区,房山区长阳镇起步区6号地,39.753844,116.181678,39.764012,116.211056,1
1101002010B12810,2b28677e-a55e-47c7-bda0-b36a4930e9ef,北京市,北京市,顺义区,顺义区牛栏山镇,40.230193,116.654126,40.216068,116.670784,1
1101002009B07872,dc954c90-1e18-480a-8588-950f555c19a9,北京市,北京市,西城区,西城区大石碑胡同14号,39.946485,116.401089,39.903004,116.377048,1
1101002009B07639,aaed9105-0d18-4506-a6b6-5d4c4889f146,北京市,北京市,西城区,西城区德胜门内大街236号,39.944005,116.386181,39.936372,116.3736,1
1101002008B03774,f90373a1-9e47-40d3-b56f-ffaa0b890820,北京市,北京市,大兴区,大兴区大兴工业开发区金苑路18号,39.764691,116.358333,39.735612,116.333832,1
1101002011B13878,6e31ab43-6097-4076-abf9-8b50242e11f2,北京市,北京市,丰台区,丰台区大井西路,39.870942,116.272375,39.86522,116.253296,1
1101002016B01113,c7e4c728-190f-4b94-88c2-59fc03565d88,北京市,北京市,延庆县,延庆区张山营镇下营村西侧延庆智能电网研究示范项目,40.452159,115.801718,40.517348,115.928704,1
1101002010B09174,62d8b7cb-7e79-4c4a-b43d-14e4639f7af6,北京市,北京市,顺义区,顺义区牛栏山镇,40.230193,116.654126,40.216068,116.670784,1
1101002009B00547,ca06b01c-e616-469a-b318-5fe5378eb41c,北京市,北京市,朝阳区,朝阳区定福庄北街14号楼,39.925294,116.560735,39.894272,116.4892,1
1101002010B10140,ae5599af-fd88-4fa8-81da-62a2410964bb,北京市,北京市,丰台区,丰台区南苑村（C地块）,39.800689,116.384518,39.80198,116.3766,1
1101002009B05768,a3464d5f-5724-4e26-ac72-9346b4111775,北京市,北京市,朝阳区,朝阳区三间房南里4号院16-8,39.921034,116.575794,39.894272,116.4892,1
1101002009B05777,7ba5d72a-d218-4da7-a3b9-aaf1c4a4d22f,北京市,北京市,朝阳区,朝阳区三间房南里4号院16-5,39.921034,116.575794,39.894272,116.4892,1
1101002009B00415,79cb4e31-9a48-41f8-bfe4-7feae9d86033,北京市,北京市,朝阳区,朝阳区甘露园南里1区23号楼2层,39.921371,116.517324,39.894272,116.4892,1
1101002009B00354,14128e33-9bc1-490c-bac7-45126d9d3980,北京市,北京市,丰台区,丰台区丰台镇西刘庄子87号,39.865119,116.291415,39.84674,116.27468,1
1101002010B09744,d89aeafa-97f2-4450-ae79-a4d497b261b2,北京市,北京市,平谷区,北京市平谷区平谷镇府前街23号,40.14684,117.121573,40.13914,117.1086,1
1101002014B01768,da2adf8c-a7b9-4597-ac0f-2efd81510f1d,北京市,北京市,顺义区,顺义区仁和镇陶家坟村东,40.091823,116.673508,40.08668,116.66344,1
